target,text,indices,label
ambience,"$t$ is delightful , service impeccable .",0,1
service,"ambience is delightful , $t$ impeccable .",4,1
service,"$t$ was excellent , and the ac worked very well too ( thank god , it was hot ! ) .",0,1
ac,"service was excellent , and the $t$ worked very well too ( thank god , it was hot ! ) .",6,1
people,you get the sense that the $t$ there care about their restaurant and about your experience and that is very nice .,6,1
cooks,"both are delicious , the $t$ are friendly and are willing to take a moment and speak to you and shake your hand .",5,1
sushi rolls,my friend ordered some of their special $t$ which had excellent presentation and tasted great !,7,1
dinner menu to sit,although be warned their $t$ and take out prices are different .,4,0
take out prices,although be warned their dinner menu to sit and $t$ are different .,9,0
staff,"the $t$ was accomodating , the food was absolutely delicious and the place is lovely .",1,1
food,"the staff was accomodating , the $t$ was absolutely delicious and the place is lovely .",6,1
place,"the staff was accomodating , the food was absolutely delicious and the $t$ is lovely .",12,1
scallion pancake,"my picks are : - $t$ ( fried with vegetable juice , very special and tasty ) - guizhou chicken - shredded squid family style ( one of my personal favorites ) - sichuan spicy soft shell crab - shuizhu fish ( this one is for hardcore sichuan food fans , i wouldn ' t recommend to my american friends as it ' s very spicy .",5,1
vegetable juice,"my picks are : - scallion pancake ( fried with $t$ , very special and tasty ) - guizhou chicken - shredded squid family style ( one of my personal favorites ) - sichuan spicy soft shell crab - shuizhu fish ( this one is for hardcore sichuan food fans , i wouldn ' t recommend to my american friends as it ' s very spicy .",10,1
guizhou chicken,"my picks are : - scallion pancake ( fried with vegetable juice , very special and tasty ) - $t$ - shredded squid family style ( one of my personal favorites ) - sichuan spicy soft shell crab - shuizhu fish ( this one is for hardcore sichuan food fans , i wouldn ' t recommend to my american friends as it ' s very spicy .",19,1
shredded squid family style,"my picks are : - scallion pancake ( fried with vegetable juice , very special and tasty ) - guizhou chicken - $t$ ( one of my personal favorites ) - sichuan spicy soft shell crab - shuizhu fish ( this one is for hardcore sichuan food fans , i wouldn ' t recommend to my american friends as it ' s very spicy .",22,1
sichuan spicy soft shell crab,"my picks are : - scallion pancake ( fried with vegetable juice , very special and tasty ) - guizhou chicken - shredded squid family style ( one of my personal favorites ) - $t$ - shuizhu fish ( this one is for hardcore sichuan food fans , i wouldn ' t recommend to my american friends as it ' s very spicy .",34,1
shuizhu fish,"my picks are : - scallion pancake ( fried with vegetable juice , very special and tasty ) - guizhou chicken - shredded squid family style ( one of my personal favorites ) - sichuan spicy soft shell crab - $t$ ( this one is for hardcore sichuan food fans , i wouldn ' t recommend to my american friends as it ' s very spicy .",40,1
sichuan food,"my picks are : - scallion pancake ( fried with vegetable juice , very special and tasty ) - guizhou chicken - shredded squid family style ( one of my personal favorites ) - sichuan spicy soft shell crab - shuizhu fish ( this one is for hardcore $t$ fans , i wouldn ' t recommend to my american friends as it ' s very spicy .",48,0
canned vegetables,they smell like they stuff them with old $t$ like the spinach mushroom calzone .,8,-1
spinach mushroom calzone,they smell like they stuff them with old canned vegetables like the $t$ .,12,-1
food,"to celebrate a birthday , three of us went to mare anticipating great $t$ .",13,0
blue point oysters,there was a great deal for 6 $t$ and a beer or glass of wine for $8 !,7,0
beer,there was a great deal for 6 blue point oysters and a $t$ or glass of wine for $8 !,12,0
glass of wine,there was a great deal for 6 blue point oysters and a beer or $t$ for $8 !,14,0
noodle dishes,i really liked the $t$ at rice avenue compared to their green curry dish .,4,1
green curry dish,i really liked the noodle dishes at rice avenue compared to their $t$ .,12,-1
prices,"but for whatever reason , $t$ are about twice as high .",5,-1
service,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the $t$ and i thought the food was overated and on the pricey side .,19,-1
food,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the $t$ was overated and on the pricey side .,24,-1
atmoshere,great $t$ and worth every bit .,1,1
spicy tuna roll,"the $t$ was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",1,1
rock shrimp tempura,"the spicy tuna roll was unusually good and the $t$ was awesome , great appetizer to share !",9,1
appetizer,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great $t$ to share !",16,1
staff,the $t$ was knowledgeable and full of personality .,1,1
staff,great $t$ .,1,1
cost,"only complaint would be that at an average $t$ of $12 - $15 per meal , i ' d like not to have to worry about finding a seat !",8,-1
meal,"only complaint would be that at an average cost of $12 - $15 per $t$ , i ' d like not to have to worry about finding a seat !",14,0
seat,"only complaint would be that at an average cost of $12 - $15 per meal , i ' d like not to have to worry about finding a $t$ !",28,-1
dinner,"to finish off such a delightful $t$ experience you must have dessert , especially the white chocolate bread pudding with gelato and hot chocolate .",6,1
dessert,"to finish off such a delightful dinner experience you must have $t$ , especially the white chocolate bread pudding with gelato and hot chocolate .",11,1
white chocolate bread pudding with gelato and hot chocolate,"to finish off such a delightful dinner experience you must have dessert , especially the $t$ .",15,1
banana tower,the $t$ is an amazing dessert as well .,1,1
dessert,the banana tower is an amazing $t$ as well .,6,1
atmosphere,"excellent $t$ , delicious dishes good and friendly service .",1,1
dishes,"excellent atmosphere , delicious $t$ good and friendly service .",4,1
service,"excellent atmosphere , delicious dishes good and friendly $t$ .",8,1
place,a cool $t$ to hang with your friends for a couple of healthy drinks and desserts .,2,1
drinks,a cool place to hang with your friends for a couple of healthy $t$ and desserts .,13,1
desserts,a cool place to hang with your friends for a couple of healthy drinks and $t$ .,15,1
vibe,"great $t$ , lots of people .",1,1
food,"i like mamoun ' s $t$ as well , but side by side , kati rolls just produce tastier food hands down .",5,1
food,"i like mamoun ' s food as well , but side by side , kati rolls just produce tastier $t$ hands down .",19,1
service,"the $t$ is a bit slow , but harkens back to my years growing up in napoli , italy where things are not rushed and when you sit down for dinner the table is yours all night .",1,-1
dinner,"the service is a bit slow , but harkens back to my years growing up in napoli , italy where things are not rushed and when you sit down for $t$ the table is yours all night .",30,0
table,"the service is a bit slow , but harkens back to my years growing up in napoli , italy where things are not rushed and when you sit down for dinner the $t$ is yours all night .",32,1
icing on the cake,but that wasn ' t the $t$ : a tiramisu that resembled nothing i have ever had .,6,-1
tiramisu,but that wasn ' t the icing on the cake : a $t$ that resembled nothing i have ever had .,12,-1
food,great $t$ and the prices are very reasonable .,1,1
prices,great food and the $t$ are very reasonable .,4,1
bar,"a cool $t$ with great food , and tons of excellent beer .",2,1
food,"a cool bar with great $t$ , and tons of excellent beer .",5,1
beer,"a cool bar with great food , and tons of excellent $t$ .",11,1
specials,"be sure to try the seasonal , and always delicious , $t$ .",11,1
ambience,the $t$ is authentic and relaxing and we have always received attentive and prompt service .,1,1
service,the ambience is authentic and relaxing and we have always received attentive and prompt $t$ .,14,1
french cuisine,"fresh , authentic , $t$ in substantial portions .",4,1
portions,"fresh , authentic , french cuisine in substantial $t$ .",8,1
drinks,"$t$ got screwed up , she acted put upon .",0,-1
vegetarian entree,the one $t$ ( abby ' s treasure ) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables .,2,1
treasure,the one vegetarian entree ( abby ' s $t$ ) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables .,8,1
wintermelon,the one vegetarian entree ( abby ' s treasure ) was actually quite a surprise - it was delicious and had $t$ covering an assortment of fresh mushrooms and vegetables .,21,1
assortment of fresh mushrooms and vegetables,the one vegetarian entree ( abby ' s treasure ) was actually quite a surprise - it was delicious and had wintermelon covering an $t$ .,24,1
dumplings,"at 5 $t$ for $1 , you just cannot go wrong .",2,1
pizza,but the $t$ is way to expensive .,2,-1
staff,"and the $t$ is also young , energeic and hot ! ! ! !",2,1
steak au poivre,"even better , they know how to cook french classics like $t$ and onglet without burning it to death or overcooking it .",11,1
onglet,"even better , they know how to cook french classics like steak au poivre and $t$ without burning it to death or overcooking it .",15,1
prices,"service was decent , but not as smooth as i would expect from a place with these $t$ and reputation .",17,-1
reputation,"service was decent , but not as smooth as i would expect from a place with these prices and $t$ .",19,1
meal,we had a wonderful $t$ at naples 45 a month ago on a visit to nyc .,4,1
drink,good $t$ .,1,1
food,"great $t$ ( spinach and corn dumplings and massamman curry ) , very friendly and no nonsense service and a clean and funky bathroom .",1,1
and corn dumplings,"great food ( spinach $t$ and massamman curry ) , very friendly and no nonsense service and a clean and funky bathroom .",4,1
massamman curry,"great food ( spinach and corn dumplings and $t$ ) , very friendly and no nonsense service and a clean and funky bathroom .",8,1
service,"great food ( spinach and corn dumplings and massamman curry ) , very friendly and no nonsense $t$ and a clean and funky bathroom .",17,1
bathroom,"great food ( spinach and corn dumplings and massamman curry ) , very friendly and no nonsense service and a clean and funky $t$ .",23,1
dinner,we had a girls ' night $t$ here for restaurant week .,6,0
dinner,"however , i was there for a work $t$ not long ago when my colleague from london noticed a very large waterbug on the ceiling .",8,0
ceiling,"however , i was there for a work dinner not long ago when my colleague from london noticed a very large waterbug on the $t$ .",24,-1
chow fun and chow see,my $t$ was really bland and oily .,1,-1
reservation,"even though i made the $t$ at 3pm for the same night through dinnerbroker , we were seated at a table with one of the best view !",5,1
seated,"even though i made the reservation at 3pm for the same night through dinnerbroker , we were $t$ at a table with one of the best view !",17,1
table,"even though i made the reservation at 3pm for the same night through dinnerbroker , we were seated at a $t$ with one of the best view !",20,1
pita,"we did notice however , that some tables had what looked like $t$ instead of naan .",12,-1
naan,"we did notice however , that some tables had what looked like pita instead of $t$ .",15,-1
menu,"i didn ' t take a look at the rest $t$ , but the oysters were fantastic .",10,0
oysters,"i didn ' t take a look at the rest menu , but the $t$ were fantastic .",14,1
grilled cheese,the $t$ at home afterwards was better . ! !,1,1
service,"great $t$ , great food .",1,1
food,"great service , great $t$ .",4,1
food,"sometimes i get bad $t$ and bad service , sometimes i get good good and bad service .",4,-1
service,"sometimes i get bad food and bad $t$ , sometimes i get good good and bad service .",7,-1
good,"sometimes i get bad food and bad service , sometimes i get good $t$ and bad service .",13,1
service,"sometimes i get bad food and bad service , sometimes i get good good and bad $t$ .",16,-1
waitress,when we were finally seated our $t$ came by twice - 1 for our order and 2 - for our check .,6,-1
check,when we were finally seated our waitress came by twice - 1 for our order and 2 - for our $t$ .,20,0
terrace,in summer - eat outside on a $t$ ( another great feature of suan ) ! ! !,7,1
design,"it ' s the perfect restaurant for ny life style , it got cool $t$ , awsome drinks and food and lot ' s of good looking people eating and hanging at the pink bar . . .",14,1
drinks,"it ' s the perfect restaurant for ny life style , it got cool design , awsome $t$ and food and lot ' s of good looking people eating and hanging at the pink bar . . .",17,1
food,"it ' s the perfect restaurant for ny life style , it got cool design , awsome drinks and $t$ and lot ' s of good looking people eating and hanging at the pink bar . . .",19,1
bar,"it ' s the perfect restaurant for ny life style , it got cool design , awsome drinks and food and lot ' s of good looking people eating and hanging at the pink $t$ . . .",34,0
bar,we did have to wait at the $t$ for approx .,7,0
seafood,"if you love $t$ , you would love this place !",3,1
place,"if you love seafood , you would love this $t$ !",9,1
service,"good , fast $t$ .",3,1
prices,they charge different $t$ all the time .,3,-1
service,"i was in love with pongsri on 48th , but compared to suan it is slow in $t$ and overpriced .",17,-1
cheese,"my friends and i experienced amazing $t$ and a delicious , new summer menu at artisanal last night .",6,1
menu,"my friends and i experienced amazing cheese and a delicious , new summer $t$ at artisanal last night .",13,1
atmoshere,"it ' s charmingly small and that leads to an $t$ that is extremely cozy and romantic , even .",10,1
japanese cuisine,it is obvious that no one in the restaurant has any idea about or experience with $t$ .,16,-1
food,"in terms of the $t$ itself - - nothing special , we limited ourselves to several appetizers .",4,0
appetizers,"in terms of the food itself - - nothing special , we limited ourselves to several $t$ .",16,0
jazz bands,love the $t$ on fri and sat .,2,1
wait,"to begin , we were told there was a 30 minute $t$ and started to leave , when the hostess offered to call us on our cell phone when the table was ready .",11,-1
hostess,"to begin , we were told there was a 30 minute wait and started to leave , when the $t$ offered to call us on our cell phone when the table was ready .",19,1
table,"to begin , we were told there was a 30 minute wait and started to leave , when the hostess offered to call us on our cell phone when the $t$ was ready .",30,1
servers,the $t$ give you some sample slices of your order while you wait ( shortly i might add ) .,1,1
service,the $t$ was ok .,1,0
dish,"when asked about how a certain $t$ was prepared in comparison to a similar at other thai restaurants , he replied this is not mcdonald ' s , every place makes things differently while it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",6,0
tables,"don ' t expect to sit down inside though , there are only a few $t$ and they are always full .",15,-1
staff,"the $t$ is accomodating , the ambiance is exciting and yet relaxed , and the food is out of this world !",1,1
ambiance,"the staff is accomodating , the $t$ is exciting and yet relaxed , and the food is out of this world !",6,1
food,"the staff is accomodating , the ambiance is exciting and yet relaxed , and the $t$ is out of this world !",15,1
food,"the $t$ was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",1,1
halibut special,"the food was delicious ( i had a $t$ , my husband had steak ) , and the service was top - notch .",8,1
steak,"the food was delicious ( i had a halibut special , my husband had $t$ ) , and the service was top - notch .",14,1
service,"the food was delicious ( i had a halibut special , my husband had steak ) , and the $t$ was top - notch .",19,1
manager,the $t$ claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group .,1,-1
bill,the manager claimed that he could not compensate us for anything on the $t$ which just shows the lack of sophistication from the entire group .,13,0
japanese comfort food,it ' s the only place you can get yummy authentic $t$ .,11,1
half price sushi deal,we took advanatage of the $t$ on saturday so it was well worth it .,5,1
seated,we came here on a crowded saturday night and were $t$ right away despite being 15 minutes late for our reservation .,10,1
reservation,we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our $t$ .,20,0
appetizer platter,we were fast to order the $t$ since we were very hungry .,6,0
staff,"the $t$ are attentive , and have smiles on their faces .",1,1
dress codes,"no $t$ , no attitudes , plenty of comfort companionship , a great place to relax in an always busy midtown .",1,1
attitudes,"no dress codes , no $t$ , plenty of comfort companionship , a great place to relax in an always busy midtown .",5,1
place,"no dress codes , no attitudes , plenty of comfort companionship , a great $t$ to relax in an always busy midtown .",14,1
pieces of sushi,"largest and freshest $t$ , and delicious !",3,1
pasta,even the $t$ is delicious here ( a rarity in new york pizza restaurants ) .,2,1
menu,"but when we looked at the $t$ , there weren ' t a lot of choices , most of them were dumplings in the appetizer section .",6,-1
dumplings,"but when we looked at the menu , there weren ' t a lot of choices , most of them were $t$ in the appetizer section .",21,0
appetizer,"but when we looked at the menu , there weren ' t a lot of choices , most of them were dumplings in the $t$ section .",24,-1
manager,after my 3rd time the $t$ remembered me and treated me like an usual customer .,5,1
toaster,now if they could only get a $t$ .,7,-1
neapolitan pizza,"when he ' s not making authentic $t$ in the open brick oven or lightly frying zucchini blossoms , he ' s visiting the regulars ( a growing legion ) and checking on newcomers .",7,1
zucchini blossoms,"when he ' s not making authentic neapolitan pizza in the open brick oven or lightly frying $t$ , he ' s visiting the regulars ( a growing legion ) and checking on newcomers .",17,1
wait staff,$t$ is blantently unappreciative of your business but its the best pie on the uws !,0,-1
pie,wait staff is blantently unappreciative of your business but its the best $t$ on the uws !,12,1
ingredients,"the $t$ taste fresher , the crust is thinner and crispier , the slice is less oily , and it ' s never burnt like it occasionally is at joe ' s .",1,1
crust,"the ingredients taste fresher , the $t$ is thinner and crispier , the slice is less oily , and it ' s never burnt like it occasionally is at joe ' s .",6,1
slice,"the ingredients taste fresher , the crust is thinner and crispier , the $t$ is less oily , and it ' s never burnt like it occasionally is at joe ' s .",13,1
fish,$t$ is so very fresh .,0,1
prices,the $t$ were cheap compared to the quality of service and food .,1,1
service,the prices were cheap compared to the quality of $t$ and food .,9,1
food,the prices were cheap compared to the quality of service and $t$ .,11,1
vietnamese classics,"top spot in town for $t$ , better than places that cost a lot more .",5,1
wait time,less $t$ for me !,1,1
decor,"the $t$ is really blah , and not at all hip or happening .",1,-1
fish tanks,"having discovered ping ' s on the internet , we entered with qualms but were instantly put to ease by the $t$ that greet you as u walk in .",21,1
owner ' s,it appears to be the $t$ first venture and it shows .,5,-1
pizza,"i come from a family of pizzeria owners , and i ' m almost ashamed to say that the $t$ in fornino ' s blows my families receipies away .",19,1
beef,we ordered some $t$ and noodle soup dishes from the thai section of the menu but nothing we got was thai .,3,-1
noodle soup dishes,we ordered some beef and $t$ from the thai section of the menu but nothing we got was thai .,5,-1
menu,we ordered some beef and noodle soup dishes from the thai section of the $t$ but nothing we got was thai .,14,-1
cream cheeses,they have a huge selection of different $t$ and all of their salads are great .,7,1
salads,they have a huge selection of different cream cheeses and all of their $t$ are great .,13,1
lobster sandwich,the $t$ is good and the spaghetti with scallops and shrimp is great .,1,1
spaghetti with scallops and shrimp,the lobster sandwich is good and the $t$ is great .,7,1
food,the $t$ was authentic .,1,1
dim sum,the $t$ is delectable while the prices are quite easy on the wallet .,1,1
prices,the dim sum is delectable while the $t$ are quite easy on the wallet .,7,1
dish,"i only tried a simple $t$ of spinach ravioli in a light oil and garlic sauce , but it actually faired better than most nyc italian joints i ' ve tried similar dishes at .",5,1
spinach ravioli in a light oil and garlic sauce,"i only tried a simple dish of $t$ , but it actually faired better than most nyc italian joints i ' ve tried similar dishes at .",7,1
dishes,"i only tried a simple dish of spinach ravioli in a light oil and garlic sauce , but it actually faired better than most nyc italian joints i ' ve tried similar $t$ at .",32,0
japanese food,the worst excuse for $t$ i ' ve ever encountered .,4,-1
chicken teriyaki dish,i ordered a $t$ and found that the chicken was extremely dry .,3,-1
chicken,i ordered a chicken teriyaki dish and found that the $t$ was extremely dry .,10,-1
reservations,"we had $t$ at 9pm , but was not seated until 10 : 15pm .",2,-1
pam ' s special fried fish,we had $t$ and it was amazing .,2,1
service,there is no excuse for such lousy $t$ !,7,-1
new england chowder,my boyfriend had the $t$ it was good but i think the award should go to the lobster bisque .,4,1
lobster bisque,my boyfriend had the new england chowder it was good but i think the award should go to the $t$ .,19,1
pizzas,"so , a little inconsistency there but either way , both $t$ were really good .",11,1
sushi,"overall the restaurant is more expensive than our other $t$ favorites , but everything was delicious .",9,0
wines by the glass,not enough $t$ either .,2,-1
duck breast special,i had the $t$ on my last visit and it was incredible .,3,1
food,i must say it ' s a little pricey for the $t$ because it was not as spectacular as the view .,11,-1
french indian fusion,these innovators of $t$ do a great job of making dishes as interesting as possible while still being accessible .,3,1
dishes,these innovators of french indian fusion do a great job of making $t$ as interesting as possible while still being accessible .,12,1
seat,"just don ' t take the $t$ between the bar and the back half of the restaurant , i saw a woman get nudged 40times sitting there .",6,-1
bar,"just don ' t take the seat between the $t$ and the back half of the restaurant , i saw a woman get nudged 40times sitting there .",9,0
food,no gimmicks here - - the $t$ speaks for itself in its freshness and preparation .,6,1
wait,"we were worried we would have trouble getting in , but somehow managed to have a short $t$ .",17,1
fried shrimp,my wife had the $t$ which are huge and loved it .,4,1
food,one should not go to lucky strike for the $t$ .,9,-1
service,the $t$ is awful - - the last time i was there ( and i do mean the last time ) we were told that they needed our table so we would have to leave .,1,-1
table,the service is awful - - the last time i was there ( and i do mean the last time ) we were told that they needed our $t$ so we would have to leave .,28,-1
appetizer,we could only get through an $t$ and cheese fondue .,6,0
cheese fondue,we could only get through an appetizer and $t$ .,8,0
table,both times we waited well over a half hour for a $t$ ( even though we had reservations ) .,11,-1
reservations,both times we waited well over a half hour for a table ( even though we had $t$ ) .,17,-1
reservation,"night without a $t$ , we had to wait at the bar for a little while , but the manager was so nice and made our wait a great experience .",3,0
bar,"night without a reservation , we had to wait at the $t$ for a little while , but the manager was so nice and made our wait a great experience .",11,0
manager,"night without a reservation , we had to wait at the bar for a little while , but the $t$ was so nice and made our wait a great experience .",19,1
wait,"night without a reservation , we had to wait at the bar for a little while , but the manager was so nice and made our $t$ a great experience .",26,1
green curry,try the $t$ ! ! !,2,1
scallops,we had the $t$ as an appetizer and they were delicious and the sauce was wonderful .,3,1
appetizer,we had the scallops as an $t$ and they were delicious and the sauce was wonderful .,6,1
sauce,we had the scallops as an appetizer and they were delicious and the $t$ was wonderful .,13,1
reservation,we were also seated promptly at the time of our $t$ and the service was very quick and professional .,10,1
service,we were also seated promptly at the time of our reservation and the $t$ was very quick and professional .,13,1
seat,"you rarely have to wait for a $t$ and the currys ( masaman , green , red ) are full of flavor and come super spicy if you ask for it .",7,1
currys ( masaman,"you rarely have to wait for a seat and the $t$ , green , red ) are full of flavor and come super spicy if you ask for it .",10,1
green,"you rarely have to wait for a seat and the currys ( masaman , $t$ , red ) are full of flavor and come super spicy if you ask for it .",14,1
red,"you rarely have to wait for a seat and the currys ( masaman , green , $t$ ) are full of flavor and come super spicy if you ask for it .",16,1
flavor,"you rarely have to wait for a seat and the currys ( masaman , green , red ) are full of $t$ and come super spicy if you ask for it .",21,1
food,the $t$ there are sastifying .,1,1
dinner,i highly recommend visiting this restaurant and having $t$ and drinks !,8,1
drinks,i highly recommend visiting this restaurant and having dinner and $t$ !,10,1
bar,the $t$ is very well stocked with interesting beers and well priced wines .,1,1
beers,the bar is very well stocked with interesting $t$ and well priced wines .,8,1
priced wines,the bar is very well stocked with interesting beers and well $t$ .,11,1
reservations,"last memorial day , i tried to make $t$ but was told they were closed that weekend ( interesting , but . . . ) .",8,-1
food,the $t$ was good .,1,1
wine selection,"great $t$ , gigondas is worth the price , and the house champagne is a great value .",1,1
gigondas,"great wine selection , $t$ is worth the price , and the house champagne is a great value .",4,1
price,"great wine selection , gigondas is worth the $t$ , and the house champagne is a great value .",8,0
house champagne,"great wine selection , gigondas is worth the price , and the $t$ is a great value .",12,1
music,"at night , but it ' s hard to hear your own conversation with everyone else competing for that same luxury - the $t$ playing in the background is also voluminous .",23,-1
fish,i have enjoyed everything i have ever gotten and the $t$ is so fresh and always prepared in a great way .,10,1
yellowfun tuna,i particularly love their $t$ and their mussel selection .,4,1
mussel selection,i particularly love their yellowfun tuna and their $t$ .,8,1
bagel,i love to visit murrays for my $t$ fix .,7,1
dinner reservations,"we made early $t$ and were thoroughly impressed , reminds me of my grandfather , its old school italian scenery with lots of fun stuff to admire .",3,1
scenery,"we made early dinner reservations and were thoroughly impressed , reminds me of my grandfather , its old school italian $t$ with lots of fun stuff to admire .",20,1
place,the $t$ was nice and calm .,1,1
cheese plate,$t$ is a varied delight and great bargain at $10 .,0,1
glasses of water,i could have drank 4 $t$ and still been parched - so watch out .,5,0
service,"when we sat , we got great and fast $t$ .",9,1
servers,"most of the $t$ are very attentive , friendly and quite attractive .",3,1
service,$t$ is average .,0,0
specials,but they ' ve done a really nice job of offering all the typical pizzeria faves plus some terrific $t$ like the godmother pizza ( a sort of traditional flat pizza with an olive oil - brushed crust and less tomato sauce than usual ) .,19,1
godmother pizza ( a sort of traditional flat pizza with an olive brushed crust and less tomato sauce than usual,but they ' ve done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the $t$ ) .,22,1
sandwich,"they forgot a $t$ , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",3,0
plastic forks,"they forgot a sandwich , didn ' t include $t$ , and didn ' t include pita with the hummus platter .",9,0
pita,"they forgot a sandwich , didn ' t include plastic forks , and didn ' t include $t$ with the hummus platter .",17,0
hummus platter,"they forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the $t$ .",20,0
steak,"the $t$ is good , the fish is good and the sushi was surprisingly great .",1,1
fish,"the steak is good , the $t$ is good and the sushi was surprisingly great .",6,1
sushi,"the steak is good , the fish is good and the $t$ was surprisingly great .",11,1
pizza,i am reluctant to write because i would not want my jem of a $t$ place to become overcrowded .,14,1
service,"the $t$ was poor , restaurant poorly lit , staff not very attentive and i would have rather eaten at a mcdonald ' s than this joint .",1,-1
staff,"the service was poor , restaurant poorly lit , $t$ not very attentive and i would have rather eaten at a mcdonald ' s than this joint .",9,-1
cocktails,"my gf and i still choose to eat there a lot because of diverse $t$ , the chill decor , and the decent sushi .",14,1
decor,"my gf and i still choose to eat there a lot because of diverse cocktails , the chill $t$ , and the decent sushi .",18,1
sushi,"my gf and i still choose to eat there a lot because of diverse cocktails , the chill decor , and the decent $t$ .",23,1
dinner,we ended the $t$ with a surprisingly light and flaky apple tarte tatin .,3,0
apple tarte tatin,we ended the dinner with a surprisingly light and flaky $t$ .,10,1
buffet,the $t$ had a nice selection .,1,1
selection,the buffet had a nice $t$ .,5,1
waitstaff,$t$ are very friendly .,0,1
service,$t$ was slow had to wait to order and get food although not crowded .,0,-1
food,service was slow had to wait to order and get $t$ although not crowded .,10,0
chocolate,will have to return to try the $t$ !,7,1
food,"the $t$ was below average , the service was pathetic , there was no ambience at all .",1,-1
service,"the food was below average , the $t$ was pathetic , there was no ambience at all .",7,-1
ambience,"the food was below average , the service was pathetic , there was no $t$ at all .",14,-1
shows,i really enjoyed the $t$ put on by the actors .,4,1
actors,i really enjoyed the shows put on by the $t$ .,9,1
new york bagel,our first time in new york and we had to try a $t$ .,12,0
service,$t$ was efficient courteous .,0,1
miso soup,the $t$ lacked flavor and the fish was unfortunately not as well prepared as in the past .,1,-1
flavor,the miso soup lacked $t$ and the fish was unfortunately not as well prepared as in the past .,4,-1
fish,the miso soup lacked flavor and the $t$ was unfortunately not as well prepared as in the past .,7,-1
bagels,they are the best $t$ i ' ve had .,4,1
ambience,i ' ve read some of the previews reviews - people are either not new yorkers or have more appreciation for $t$ then food .,21,0
food,i ' ve read some of the previews reviews - people are either not new yorkers or have more appreciation for ambience then $t$ .,23,0
space,"toons has recently been redone , so it ' s now a very attractive $t$ .",14,1
filets,"$160 for 2 $t$ , 2 sides , an appetizer and drinks .",3,0
sides,"$160 for 2 filets , 2 $t$ , an appetizer and drinks .",6,0
appetizer,"$160 for 2 filets , 2 sides , an $t$ and drinks .",9,0
drinks,"$160 for 2 filets , 2 sides , an appetizer and $t$ .",11,0
prices,"while the $t$ are nothing special , the portions are huge .",2,0
portions,"while the prices are nothing special , the $t$ are huge .",8,1
location,"its a nice quiet $t$ to go eat a good meal , relax , be able to talk and have a very good time .",4,1
meal,"its a nice quiet location to go eat a good $t$ , relax , be able to talk and have a very good time .",10,1
dinner,"we arrived for $t$ expecting to be impressed by a place that has an impressive past - but , that ' s just it - - the past !",3,0
spot,"however , i think this place is a good hang out $t$ .",11,1
menu,"the $t$ is prix fixe , so be prepared to spend at least $60 per person , but it is well worth itsuperb food .",1,-1
prix fixe,"the menu is $t$ , so be prepared to spend at least $60 per person , but it is well worth itsuperb food .",3,0
food,"the menu is prix fixe , so be prepared to spend at least $60 per person , but it is well worth itsuperb $t$ .",23,1
wine list,the $t$ is extensive and impressive .,1,1
waitress,we had the most wonderful $t$ .,5,1
staff,"while the $t$ at this little bistro is very friendly , i have never experienced more incompetency .",2,1
quail,the $t$ was fantastic and unique and the pastas were full of flavor .,1,1
pastas,the quail was fantastic and unique and the $t$ were full of flavor .,8,1
flavor,the quail was fantastic and unique and the pastas were full of $t$ .,12,1
zucchini,the $t$ and mashed potatoes are a blend of garlic and butter which simply melts in your mouth .,1,1
mashed potatoes,the zucchini and $t$ are a blend of garlic and butter which simply melts in your mouth .,3,1
garlic,the zucchini and mashed potatoes are a blend of $t$ and butter which simply melts in your mouth .,9,1
butter,the zucchini and mashed potatoes are a blend of garlic and $t$ which simply melts in your mouth .,11,1
staff,the $t$ is courteous and friendly .,1,1
decor,$t$ is nice though service can be spotty .,0,1
service,decor is nice though $t$ can be spotty .,4,-1
service,"aside from the rushed $t$ , we were very impressed with the food and the drinks .",4,-1
food,"aside from the rushed service , we were very impressed with the $t$ and the drinks .",12,1
drinks,"aside from the rushed service , we were very impressed with the food and the $t$ .",15,1
spicy scallop roll,make sure you have the $t$ . . .,5,1
indian dining experience,i would highly recommend this place to anyone who is looking for a fine $t$ that is definitely a value for your dollar .,14,1
sushi,this big draw is the all you can $t$ here for $19 . 95 !,8,1
workers,"some of the $t$ ignore me and talk to the female customers , other times , they ' ve skipped my order .",3,-1
order,"some of the workers ignore me and talk to the female customers , other times , they ' ve skipped my $t$ .",21,-1
specials,the $t$ are usually quite good too .,1,1
desserts,they ' ve the best $t$ and mixed drinks as well as snack foods .,5,1
mixed drinks,they ' ve the best desserts and $t$ as well as snack foods .,7,1
